component,variance,ratio,percentage
PC1,62.724818000000006,0.08352172891825387,8.4%
PC2,21.34938,0.028427936274486927,2.8%
PC3,4.776085,0.006359633863912343,0.6%
PC4,4.706429,0.006266882864626384,0.6%
PC5,4.619172,0.006150695114185719,0.6%
PC6,4.5545089999999995,0.0060645925836524135,0.6%
PC7,4.530814,0.006033041318462326,0.6%
PC8,4.467546,0.00594879631124365,0.6%
PC9,4.420071,0.005885580598439285,0.6%
PC10,4.373809,0.005823980065405992,0.6%
PC11,4.339914,0.005778846909313229,0.6%
PC12,4.289664,0.005711936123248576,0.6%
PC13,4.245976000000001,0.005653763020331312,0.6%
PC14,4.17809,0.005563368878584347,0.6%
PC15,4.16242,0.005542503365795628,0.6%
PC16,4.1372800000000005,0.005509027999394328,0.6%
PC17,4.083433,0.005437327599449585,0.5%
PC18,4.071964,0.0054220559615316645,0.5%
PC19,4.04788,0.00538998672030617,0.5%
PC20,4.019437,0.005352113218056679,0.5%
PC21,3.99335,0.00531737686629412,0.5%
PC22,3.9522449999999996,0.005262643177514268,0.5%
PC23,3.936915,0.005242230394422306,0.5%
PC24,3.921618,0.005221861552742088,0.5%
PC25,3.893518,0.0051844447748631475,0.5%
PC26,3.856381,0.005134994707956023,0.5%
PC27,3.8271620000000004,0.005096087916751584,0.5%
PC28,3.79901,0.005058601897860199,0.5%
PC29,3.7537809999999996,0.0049983768641702845,0.5%
PC30,3.745337,0.004987133188995561,0.5%
PC31,3.71688,0.004949241044935027,0.5%
PC32,3.6874599999999997,0.004910066610586328,0.5%
PC33,3.6619800000000002,0.004876138514488273,0.5%
PC34,3.6517720000000002,0.004862545971122144,0.5%
PC35,3.630089,0.004833673800490505,0.5%
PC36,3.6207260000000003,0.004821206423576608,0.5%
PC37,3.571728,0.004755962748042361,0.5%
PC38,3.545972,0.004721667141955174,0.5%
PC39,3.5134830000000004,0.004678406156314289,0.5%
PC40,3.493258,0.004651475397146973,0.5%
PC41,3.4718760000000004,0.004623004025452757,0.5%
PC42,3.45281,0.004597616541928206,0.5%
PC43,3.4122160000000004,0.00454356327925142,0.5%
PC44,3.402568,0.0045307164083270065,0.5%
PC45,3.391968,0.0045166018942516765,0.5%
PC46,3.385502,0.004507992040665726,0.5%
PC47,3.3585,0.004472037313395721,0.4%
PC48,3.3415809999999997,0.0044495086847503905,0.4%
PC49,3.3243410000000004,0.004426552626009006,0.4%
PC50,3.284564,0.004373587246162365,0.4%
PC51,3.282112,0.0043703222661139966,0.4%
PC52,3.255448,0.004334817605424884,0.4%
PC53,3.215411,0.004281506020516019,0.4%
PC54,3.194612,0.0042538109470959444,0.4%
PC55,3.192739,0.004251316939089993,0.4%
PC56,3.1819439999999997,0.004236942771217994,0.4%
PC57,3.165673,0.004215276992112363,0.4%
PC58,3.137579,0.0041778682035810135,0.4%
PC59,3.1225709999999998,0.0041578841821430365,0.4%
PC60,3.109241,0.004140134514914344,0.4%
PC61,3.089014,0.004113201092631166,0.4%
PC62,3.085012,0.004107872197788763,0.4%
PC63,3.064089,0.0040800120111851666,0.4%
PC64,3.0554959999999998,0.004068569933878627,0.4%
PC65,3.024893,0.004027820266496806,0.4%
PC66,2.997112,0.0039908282555980576,0.4%
PC67,2.972486,0.003958037309973617,0.4%
PC68,2.950206,0.003928370199256792,0.4%
PC69,2.94558,0.003922210412265049,0.4%
PC70,2.9301180000000002,0.0039016218635261114,0.4%
PC71,2.915692,0.003882412808804346,0.4%
PC72,2.89757,0.003858282315967259,0.4%
PC73,2.887579,0.003844978720672295,0.4%
PC74,2.8664669999999997,0.0038168668696196193,0.4%
PC75,2.860111,0.003808403487406148,0.4%
PC76,2.8372080000000004,0.0037779068160979155,0.4%
PC77,2.827334,0.003764759013080952,0.4%
PC78,2.789596,0.003714508679856915,0.4%
PC79,2.780017,0.003701753686429785,0.4%
PC80,2.777989,0.003699053286944429,0.4%
PC81,2.764457,0.0036810346450135466,0.4%
PC82,2.742282,0.003651507347879543,0.4%
PC83,2.73628,0.00364351533717387,0.4%
PC84,2.729057,0.003633897494233672,0.4%
PC85,2.701335,0.0035969840452528897,0.4%
PC86,2.670698,0.003556189104901392,0.4%
PC87,2.648203,0.0035262357092292656,0.4%
PC88,2.629682,0.003501573924777456,0.4%
PC89,2.622262,0.0034916937649247257,0.3%
PC90,2.613055,0.0034794341110481633,0.3%
PC91,2.599749,0.0034617164012098298,0.3%
PC92,2.581648,0.0034376138710893065,0.3%
PC93,2.571673,0.003424331580721249,0.3%
PC94,2.550638,0.0033963222596293096,0.3%
PC95,2.528034,0.0033662237241426345,0.3%
PC96,2.5184439999999997,0.003353454083578256,0.3%
PC97,2.516165,0.00335041946305206,0.3%
PC98,2.486986,0.0033115659341648863,0.3%
PC99,2.481113,0.0033037456944323947,0.3%
PC100,2.4676669999999996,0.0032858415664836316,0.3%
PC101,2.442012,0.00325168044774754,0.3%
PC102,2.4385529999999997,0.0032470745888620142,0.3%
PC103,2.433406,0.00324022106018789,0.3%
PC104,2.4114150000000003,0.003210938769713308,0.3%
PC105,2.409121,0.0032078841758181368,0.3%
PC106,2.382699,0.0031727017521484806,0.3%
PC107,2.378073,0.0031665419651567377,0.3%
PC108,2.363091,0.0031465925642249837,0.3%
PC109,2.346295,0.0031242277172052442,0.3%
PC110,2.344344,0.003121629847680625,0.3%
PC111,2.341069,0.0031172689954545208,0.3%
PC112,2.32291,0.003093089234973963,0.3%
PC113,2.316184,0.0030841331763257866,0.3%
PC114,2.2994529999999997,0.003061854880571603,0.3%
PC115,2.285901,0.003043809607482088,0.3%
PC116,2.275632,0.003030135839082129,0.3%
PC117,2.248304,0.002993747023926412,0.3%
PC118,2.242923,0.002986581910696284,0.3%
PC119,2.2274540000000003,0.0029659840410518248,0.3%
PC120,2.220942,0.002957312935801018,0.3%
PC121,2.200352,0.0029298961579886564,0.3%
PC122,2.184762,0.0029091371698344685,0.3%
PC123,2.1801619999999997,0.002903012003348948,0.3%
PC124,2.161451,0.002878097222890128,0.3%
PC125,2.152678,0.002866415465155895,0.3%
PC126,2.145289,0.002856576583599045,0.3%
PC127,2.129891,0.0028360732545677316,0.3%
PC128,2.1184279999999998,0.0028208096059974003,0.3%
PC129,2.105514,0.002803613866868268,0.3%
PC130,2.092721,0.0027865792462488633,0.3%
PC131,2.080628,0.0027704767161816023,0.3%
PC132,2.0685740000000004,0.0027544261168736765,0.3%
PC133,2.056476,0.002738316929016757,0.3%
PC134,2.0510740000000003,0.0027311238530700658,0.3%
PC135,2.03592,0.0027109454241740706,0.3%
PC136,2.033832,0.002708165131212817,0.3%
PC137,2.0165580000000003,0.002685163799501757,0.3%
PC138,2.006497,0.002671766995151578,0.3%
PC139,1.9872,0.0026460719217448196,0.3%
PC140,1.9749619999999999,0.0026297763157774718,0.3%
PC141,1.965698,0.0026174407630988068,0.3%
PC142,1.954896,0.002603057274321287,0.3%
PC143,1.949211,0.0025954873674799424,0.3%
PC144,1.9332779999999998,0.0025742716549552037,0.3%
PC145,1.9193939999999998,0.002555784304632385,0.3%
PC146,1.9020080000000001,0.0025326338384329817,0.3%
PC147,1.8866990000000001,0.0025122490180575835,0.3%
PC148,1.8722450000000002,0.002493002679713733,0.2%
PC149,1.8692060000000001,0.0024889560751594946,0.2%
PC150,1.8630740000000001,0.0024807909619227095,0.2%
PC151,1.849475,0.002462683105610407,0.2%
