region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,-0.0608,0.0017,0.0015,-0.0048,0.0023,-0.015,-0.0164,0.0013,0.0192,-0.0063,0.0018,0.0123,0.0447,-0.0462,-0.0122
AFR,LWK,NA19019,NA19019,-0.0511,-0.0042,0.02,-0.0116,-0.0158,0.0359,0.0196,0.0022,0.0119,-0.0277,-0.0205,-0.0202,0.0259,0.047,0.0433
AFR,LWK,NA19020,NA19020,-0.0556,0.0006,0.0171,0.0064,0.0022,-0.0114,0.0516,0.0082,0.003,0.0316,0.0237,-0.0167,-0.0491,0.0283,-0.0064
AFR,LWK,NA19023,NA19023,-0.051,-0.027,0.0711,0.0116,-0.0203,-0.0197,-0.0115,-0.0188,-0.0169,-0.0246,0.0109,0.0336,-0.0264,0.0317,0.0027
AFR,LWK,NA19024,NA19024,-0.0521,-0.0301,0.0133,0.0356,-0.0442,0.0564,0.0471,-0.0084,0.0237,-0.0224,0.0662,0.0383,-0.0781,0.0539,0.0148
AFR,LWK,NA19025,NA19025,-0.0559,0.0129,-0.0054,0.0179,-0.0099,-0.0334,0.0043,-0.0032,0.0088,-0.0085,0.0167,0.0247,-0.0222,0.0236,-0.0129
AFR,LWK,NA19026,NA19026,-0.0514,-0.0083,0.0001,0.0087,0.0534,0.0,0.0195,0.0343,0.0514,0.0173,0.0141,0.05,-0.0584,-0.0133,-0.0131
AFR,LWK,NA19027,NA19027,-0.058,-0.0013,0.0036,0.0296,-0.0288,-0.0349,-0.021,0.0439,-0.0166,-0.0111,-0.016,-0.0221,-0.051,-0.0335,-0.0463
AFR,LWK,NA19028,NA19028,-0.049,-0.0067,0.0123,-0.0012,0.0031,0.0055,0.0476,0.0103,-0.0104,-0.1181,0.0187,-0.0209,-0.0531,0.0137,0.0058
AFR,LWK,NA19030,NA19030,-0.058,0.0022,-0.0072,0.0027,0.0075,-0.0015,-0.0053,-0.0516,-0.0373,-0.0191,-0.0216,0.0241,-0.0341,-0.0098,0.0146
