region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,0.061258393984034806,0.00037305026037802013,-0.0709,-0.0008,-0.0068,0.0038,0.0005,0.0031,0.0284,0.0315,-0.0201,-0.0238,-0.0133,-0.0145,0.0139
AFR,LWK,NA19019,NA19019,0.061642909146031995,-4.185706685817456e-05,-0.0773,-0.0042,0.0037,-0.0149,0.004,0.0391,0.0095,-0.0569,0.105,0.056,-0.0434,-0.0274,-0.0079
AFR,LWK,NA19020,NA19020,0.06150119210767417,-0.0011372639688991873,-0.0592,-0.0022,-0.0025,-0.0046,0.0044,0.0161,0.0056,-0.0096,-0.0078,0.0113,-0.0266,-0.0103,0.0109
AFR,LWK,NA19023,NA19023,0.06365286243108005,0.0001819459535068041,-0.0649,-0.0032,-0.0128,0.0047,0.0124,-0.0242,0.0626,-0.0617,-0.0077,0.0105,0.009,0.0149,0.0289
AFR,LWK,NA19024,NA19024,0.06047152183089344,-0.0018986962515837934,-0.077,-0.0071,-0.003,0.002,-0.0021,-0.0421,-0.0482,0.007,0.0386,0.0259,0.0363,-0.0099,0.0315
AFR,LWK,NA19025,NA19025,0.06171624381260202,-0.0007451507655922539,-0.0872,-0.0063,0.0068,-0.0062,0.0187,0.0388,0.0603,0.0184,0.0004,-0.0092,0.0423,-0.1182,-0.1024
AFR,LWK,NA19026,NA19026,0.06240054240806172,-0.001171455154793079,-0.0899,-0.0178,-0.0025,0.006,0.0273,-0.0592,-0.0034,0.0483,-0.045,0.0428,-0.0171,-0.14,0.0693
AFR,LWK,NA19028,NA19028,0.0587423568760335,-0.0026335353896842616,-0.0729,-0.0021,-0.0074,0.004,0.0137,-0.0183,-0.0007,0.0618,0.0055,-0.092,-0.0642,-0.1019,-0.0049
AFR,LWK,NA19030,NA19030,0.06233100676214656,-0.0003682336449048278,-0.0782,-0.0017,-0.012,-0.0143,0.0014,-0.0408,-0.0574,-0.054,-0.0031,0.0189,0.0158,-0.0017,0.0013
AFR,LWK,NA19031,NA19031,0.059813816380017884,-0.0007728971843037661,-0.0783,0.0015,-0.0027,-0.006,0.0056,-0.0028,-0.0301,-0.0873,0.0199,0.019,0.0928,0.0405,-0.0568
AFR,LWK,NA19035,NA19035,0.06158592383620884,-0.0015407742341707513,-0.0665,-0.0037,-0.0131,0.0145,0.0056,0.003,-0.0256,-0.0196,0.0122,-0.0133,0.0302,0.0419,-0.0659
AFR,LWK,NA19036,NA19036,0.06262319215429933,-0.0005794863291778017,-0.0671,-0.0084,0.0077,-0.0269,0.0061,0.013,0.0388,-0.0201,0.0648,-0.0522,0.0004,0.0143,0.0235
AFR,LWK,NA19038,NA19038,0.06172384185391177,-0.0005452951432839105,-0.0749,-0.0064,-0.0021,0.021,-0.0135,-0.0334,-0.0509,0.0443,-0.0091,0.0114,0.0225,0.0354,-0.0459
AFR,LWK,NA19041,NA19041,0.06103194521714233,-0.0003188463763914287,-0.0717,-0.0147,0.0177,-0.0135,-0.0153,-0.0239,-0.0823,-0.0114,-0.0062,-0.0329,-0.0163,0.0482,-0.0301
AFR,LWK,NA19043,NA19043,0.061504991128329044,-0.0010373361577450154,-0.0777,-0.009,-0.0017,0.0051,0.0063,0.0077,-0.0037,-0.0252,0.0162,-0.0622,-0.0301,-0.0017,-0.0556
AFR,LWK,NA19307,NA19307,0.06034500087515513,-0.0025943919090081194,-0.0867,-0.0057,-0.0024,0.016,0.0414,0.0875,0.1534,0.0404,-0.143,-0.0008,-0.0285,0.1473,0.11
AFR,LWK,NA19308,NA19308,0.06093581642664303,-0.00021511954458238065,-0.0726,0.0027,0.0003,-0.0084,-0.0131,0.0258,0.0444,0.0571,0.0788,0.0029,-0.0127,0.0268,-0.0382
AFR,LWK,NA19309,NA19309,0.06139746527586513,-0.0012333927593984825,-0.0749,-0.0023,-0.0038,-0.0155,0.0212,-0.0261,-0.0216,0.0046,-0.0323,0.036,-0.0811,0.0088,0.0444
AFR,LWK,NA19310,NA19310,0.0631532233753092,0.0002009410567811883,-0.0726,0.0065,-0.0042,0.0195,0.0071,0.0169,0.0149,-0.0026,-0.0097,0.0651,0.0671,0.0245,-0.007
AFR,LWK,NA19312,NA19312,0.06352634147534175,-0.0005137497039175215,-0.0763,-0.0036,-0.0057,0.0045,0.0413,0.0641,0.1338,0.0516,-0.1961,-0.0228,-0.0489,0.1353,0.0539
AFR,LWK,NA19314,NA19314,0.05859188852223856,-0.0013268758033702747,-0.0756,0.0156,0.0109,-0.0024,-0.0323,-0.0302,-0.0072,0.0274,0.0073,0.0153,-0.0312,0.0458,-0.0104
AFR,LWK,NA19315,NA19315,0.0601287958960999,-0.0003845830016517091,-0.0657,0.0045,-0.0067,0.0187,-0.01,-0.0521,-0.048,0.0209,0.0462,-0.0195,-0.0022,0.0225,0.0154
AFR,LWK,NA19316,NA19316,0.06214254820180285,-6.085217013255878e-05,-0.0826,0.0035,-0.0009,-0.007,0.0176,-0.0147,0.084,-0.0156,-0.017,0.0719,-0.0016,0.0888,0.0461
AFR,LWK,NA19317,NA19317,0.06241193947002635,-0.0008716717213305635,-0.0693,-0.0026,-0.0101,0.0048,-0.0029,-0.078,-0.0264,-0.0112,0.0309,0.0706,-0.0324,-0.1125,0.0433
AFR,LWK,NA19318,NA19318,0.061101480863057486,-0.0011220678862796803,-0.0771,-0.0067,0.0017,0.0041,0.012,-0.0109,-0.0272,-0.0936,-0.0268,-0.0396,0.0168,-0.0823,0.0234
