region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,0.058127033486616984,-0.004773675527903842,-0.0159,0.0207,-0.0007,0.0021,-0.0022,-0.0052,0.0008,0.0279,-0.0011,0.0166,0.0121,0.0152,0.0088
AFR,LWK,NA19019,NA19019,0.05437073782143302,-0.000907121134684961,0.0276,0.0285,0.005,-0.0337,0.0008,0.0121,0.0065,-0.0188,0.0067,-0.0098,-0.0034,0.0058,-0.0282
AFR,LWK,NA19020,NA19020,0.05633718328264191,-0.004989166240767324,-0.0021,-0.018,0.0031,0.0157,0.0388,-0.0064,-0.0064,0.0399,0.0191,0.0107,0.0157,-0.0336,-0.0204
AFR,LWK,NA19023,NA19023,0.05544580162258675,-0.0020403633080305007,0.0457,-0.0299,-0.0218,-0.0133,0.0018,0.0725,-0.0177,0.0509,0.0177,0.0185,-0.0476,0.055,-0.0381
AFR,LWK,NA19024,NA19024,0.05387144213147516,-0.004045704224869048,-0.0199,0.0216,0.0161,-0.0253,-0.0112,0.0376,-0.0209,0.014,0.043,-0.0383,0.0478,0.04,-0.0608
AFR,LWK,NA19025,NA19025,0.0565202061787298,-0.009386495273203673,0.006,-0.0181,0.0042,0.0306,0.0022,0.0116,-0.0132,0.0217,-0.0026,0.0049,-0.0028,-0.011,0.0592
AFR,LWK,NA19026,NA19026,0.05836180711604262,-0.00686290537235043,-0.023,0.0399,0.0592,-0.0077,0.0507,-0.0165,-0.0265,0.0177,0.0029,0.0046,-0.0009,0.0022,-0.0146
AFR,LWK,NA19027,NA19027,0.05626680887775265,-0.0007849959964579328,-0.029,0.0096,0.0079,-0.002,0.0259,0.0406,-0.0214,0.0304,-0.0211,0.0359,-0.0457,0.03,0.0402
AFR,LWK,NA19028,NA19028,0.051473355999528646,-0.0025968485026641847,0.0035,0.0325,-0.0063,0.0102,0.0042,0.0109,0.0467,-0.0129,0.0046,-0.0604,0.0117,0.0071,0.0499
AFR,LWK,NA19030,NA19030,0.057647679958231945,-0.0019987484667318162,0.0113,-0.0366,0.0155,0.0215,0.0198,-0.0158,0.0162,-0.0135,-0.0353,-0.0357,-0.0426,0.0203,0.0151
AFR,LWK,NA19031,NA19031,0.0543517845273762,0.0024987034017003758,0.0093,0.0269,-0.0132,0.0141,0.053,-0.0154,0.0099,-0.0066,-0.0192,-0.0194,-0.0103,-0.0697,0.0157
AFR,LWK,NA19035,NA19035,0.055636241025044685,0.0027818491337840935,0.0214,-0.0063,0.0029,0.0076,-0.0399,-0.0062,0.0641,-0.0103,-0.0024,0.0044,-0.0131,-0.0052,0.0036
AFR,LWK,NA19036,NA19036,0.05759930785557387,-0.002803521813509924,0.029,-0.0202,0.0164,-0.0274,-0.0293,0.0322,0.0086,0.0041,-0.0243,-0.0271,0.0182,0.0025,0.0186
AFR,LWK,NA19037,NA19037,0.060442219558471476,0.0012876703170955164,0.0125,0.0162,0.0083,0.0024,-0.0182,-0.0175,0.0042,0.0066,-0.006,0.0068,0.0189,0.023,0.0533
AFR,LWK,NA19038,NA19038,0.06192898186878999,-0.0031258926237286372,-0.0274,0.0252,0.0049,-0.004,-0.0125,-0.0231,0.0361,-0.0325,0.0109,-0.0207,-0.0089,0.03,0.0732
AFR,LWK,NA19041,NA19041,0.05734492168708074,-0.003521357224505633,0.0055,0.006,-0.0625,-0.0149,-0.0019,-0.0331,0.0446,0.0342,0.0014,0.0257,-0.0217,-0.0065,-0.0252
AFR,LWK,NA19042,NA19042,0.055165375276172046,-0.005465470760977999,-0.0615,0.024,0.0383,-0.045,0.007,0.0264,-0.0404,0.0027,0.042,0.0337,-0.0214,0.0299,0.0337
AFR,LWK,NA19043,NA19043,0.056157209394728395,-0.002194956263033135,0.0566,0.0211,0.0324,-0.0568,-0.027,-0.0377,-0.0201,-0.0109,0.0237,-0.0422,0.0025,-0.0041,0.0083
AFR,LWK,NA19307,NA19307,0.06288867779307607,0.0006435879416687609,-0.005,-0.0104,0.0045,-0.0309,0.0008,0.0305,-0.009,0.0229,0.0057,0.0073,-0.0046,0.0063,0.0267
AFR,LWK,NA19308,NA19308,0.059295792484912485,-0.0026942519529910038,-0.0048,-0.0196,0.0455,0.043,0.0275,0.0038,-0.0178,-0.011,0.0064,0.0296,-0.0132,0.0077,0.0086
