region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,0.05868845150572049,-0.0013548652555490674,-0.0031,0.0169,-0.0064,-0.0225,-0.0138,0.0358,0.0224,-0.0057,0.028,-0.0114,-0.0252,0.0072,0.0335
AFR,LWK,NA19019,NA19019,0.05601383862660747,-0.0033911476394248314,-0.0295,-0.0309,-0.0173,-0.002,-0.0128,-0.0024,0.0079,-0.0011,-0.0087,-0.0169,-0.0131,-0.0413,-0.0184
AFR,LWK,NA19020,NA19020,0.05665797703790381,-0.00039196680008008866,-0.0132,-0.0066,0.0234,0.0074,-0.0078,-0.0103,-0.0173,0.0208,0.0036,-0.0157,0.0045,0.0413,-0.01
AFR,LWK,NA19023,NA19023,0.05789735931134796,-0.0006448137503729662,-0.0065,0.0094,-0.0074,0.0479,0.0317,-0.0213,0.0088,-0.0045,0.0029,0.0103,-0.0353,-0.0124,0.0086
AFR,LWK,NA19024,NA19024,0.05623953694601955,-0.002759435467138618,-0.0284,-0.0153,0.0034,0.0017,0.0384,-0.0315,0.0106,-0.0069,0.0193,-0.0009,0.0117,-0.037,-0.0187
AFR,LWK,NA19025,NA19025,0.05957881854435866,-0.002052895725161029,-0.0297,-0.0091,0.0225,0.0216,0.0162,-0.0333,0.0112,-0.0161,-0.0144,-0.0179,0.0124,-0.0177,0.011
AFR,LWK,NA19026,NA19026,0.05727145505512082,-0.0021308298546049344,-0.0048,-0.0307,0.0015,-0.031,0.0066,0.0042,-0.0267,0.0235,0.0454,-0.0126,-0.0167,0.0167,0.0056
AFR,LWK,NA19027,NA19027,0.05497962436464564,0.0018223349643971794,0.0063,0.0197,0.0073,0.0139,0.0383,-0.0242,0.0436,0.0166,-0.0286,-0.0099,-0.0198,-0.0055,0.0163
AFR,LWK,NA19028,NA19028,0.05315269709452732,-0.0055507469386945054,-0.0176,-0.0099,0.0068,0.0192,-0.0319,0.0673,0.0001,0.0331,0.0098,-0.0345,-0.0188,-0.0205,-0.0115
AFR,LWK,NA19030,NA19030,0.055505848573161154,-2.7823969957438757e-05,0.0035,0.0159,0.0371,-0.0062,0.0113,0.0152,0.0119,0.0263,-0.0018,0.0391,-0.0441,0.0018,-0.0232
AFR,LWK,NA19031,NA19031,0.05179972278839284,0.0006314420366555608,-0.018,-0.0146,-0.0126,0.0051,-0.0243,-0.0275,-0.0316,0.045,-0.0151,-0.0005,-0.006,0.0003,-0.0235
AFR,LWK,NA19035,NA19035,0.0563783866601761,0.001085134828340272,-0.02,0.0029,0.0087,0.0266,-0.028,0.0285,0.0167,-0.0258,0.0193,0.0342,-0.0125,0.0018,-0.0257
AFR,LWK,NA19036,NA19036,0.057948550013357046,-0.00023569333774629483,-0.0032,-0.0178,-0.001,0.0429,0.0261,0.0036,-0.0233,0.028,0.0324,0.0235,0.0033,0.0114,-0.0159
AFR,LWK,NA19037,NA19037,0.05777444759940003,0.00286586890561661,-0.0303,-0.0175,0.0031,0.0111,0.0266,0.0256,0.0279,-0.0199,-0.0033,-0.0122,0.0023,0.0156,-0.0036
AFR,LWK,NA19038,NA19038,0.061837692687893964,-0.004902016221677039,0.0012,-0.0085,-0.0139,-0.0088,0.0117,0.0583,-0.0072,-0.0129,0.0024,-0.0083,-0.0157,-0.014,-0.0381
