region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,0.0582,0.0044,0.0043,-0.0003,-0.0024,-0.0311,0.0083,0.0005,-0.0065,0.0097,0.0023,-0.0026,0.003,-0.0045,-0.0083
AFR,LWK,NA19019,NA19019,0.0563,-0.0011,-0.0154,0.0134,-0.0099,0.0254,0.0049,0.0153,-0.004,-0.0128,-0.0053,-0.0053,0.0067,0.0226,0.0075
AFR,LWK,NA19020,NA19020,0.0571,0.0012,0.0087,-0.0111,-0.02,0.0016,0.0139,0.0205,-0.0104,0.0177,0.0115,-0.015,-0.0221,0.0049,0.0155
AFR,LWK,NA19023,NA19023,0.0578,-0.0182,-0.0122,-0.0129,-0.0046,0.0231,0.0172,0.0297,-0.0304,-0.0526,-0.0587,-0.0238,-0.0021,0.0272,0.0167
AFR,LWK,NA19024,NA19024,0.056,-0.0083,0.0059,-0.003,-0.0023,0.0385,-0.0555,0.0163,0.0304,0.019,-0.025,0.0293,0.0198,0.0229,-0.0179
AFR,LWK,NA19025,NA19025,0.0598,0.0029,0.0054,-0.0285,0.0033,0.0014,-0.0077,0.0235,-0.013,-0.0013,-0.0137,-0.0288,0.0007,-0.018,-0.0153
AFR,LWK,NA19026,NA19026,0.0611,-0.0114,0.0091,0.028,-0.0101,-0.0013,-0.012,-0.0027,-0.0008,0.0412,-0.004,0.0409,-0.0143,-0.0159,-0.0031
AFR,LWK,NA19027,NA19027,0.0564,-0.0076,0.016,0.0084,-0.019,-0.0011,0.0021,-0.0133,0.0008,0.0205,0.0016,0.0096,-0.0222,-0.0194,0.0138
AFR,LWK,NA19028,NA19028,0.0513,-0.001,0.0132,-0.0517,-0.005,-0.0338,-0.02,-0.0024,0.0206,-0.0055,0.0102,-0.0178,-0.0338,-0.0243,-0.0429
AFR,LWK,NA19030,NA19030,0.0603,-0.011,-0.0092,-0.0433,-0.0112,0.0193,0.0314,0.0217,0.0075,0.0223,0.0308,0.0107,0.027,-0.0249,-0.0192
AFR,LWK,NA19031,NA19031,0.0559,-0.0098,-0.0167,-0.0223,-0.0328,-0.0059,0.033,0.0108,-0.0119,0.0158,0.056,-0.0253,0.0034,-0.0066,0.0103
