region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,-0.0645,-0.0114,0.0017,0.064,0.0011,0.0103,0.0141,-0.0132,0.006,0.0305,0.051,0.0395,-0.0347,0.0567,0.0502
AFR,LWK,NA19019,NA19019,-0.0652,-0.0112,0.002,0.0744,0.0048,-0.0038,-0.0087,-0.0035,0.0478,-0.0571,0.0297,-0.0733,-0.0355,-0.0261,-0.0269
AFR,LWK,NA19020,NA19020,-0.0651,-0.0106,0.001,0.056,0.0024,0.0026,-0.0033,-0.0446,-0.0061,-0.0367,0.0316,-0.0095,-0.0545,0.0048,-0.0492
AFR,LWK,NA19023,NA19023,-0.0671,-0.0117,0.0025,0.0607,0.0034,0.0163,0.0064,-0.0056,-0.0065,0.0097,0.0065,0.0374,0.0447,-0.0347,0.0508
AFR,LWK,NA19024,NA19024,-0.0643,-0.0101,0.0001,0.074,0.0058,0.0007,-0.0046,0.0711,-0.0159,0.0184,-0.0108,-0.0107,-0.019,0.0439,-0.0248
AFR,LWK,NA19025,NA19025,-0.0649,-0.0117,-0.0003,0.0837,0.0102,-0.0064,-0.009,-0.0274,-0.0166,0.0433,0.018,-0.0238,-0.1291,-0.0194,0.0198
AFR,LWK,NA19026,NA19026,-0.0663,-0.0106,0.0014,0.0869,0.0186,0.0062,-0.0308,0.0113,0.0657,0.074,0.0122,-0.0486,-0.0597,-0.0103,-0.149
AFR,LWK,NA19027,NA19027,-0.0625,-0.0097,0.0007,0.0798,-0.0121,-0.0073,-0.0026,-0.0216,-0.0123,0.0251,-0.0462,-0.0304,0.0045,0.0182,0.0711
AFR,LWK,NA19028,NA19028,-0.0623,-0.0094,-0.0011,0.0697,-0.0003,0.0116,-0.014,-0.0565,-0.0063,0.0637,0.0553,-0.0648,-0.0743,0.0497,-0.0873
AFR,LWK,NA19030,NA19030,-0.0659,-0.011,0.0017,0.0762,0.003,0.0153,-0.015,0.0778,0.0076,-0.0131,0.0163,0.0559,-0.028,-0.0351,0.0454
AFR,LWK,NA19031,NA19031,-0.0634,-0.0106,0.0009,0.074,0.0004,0.0001,-0.0363,0.1281,0.0108,0.0036,-0.0301,-0.0176,0.0383,-0.0804,0.0302
AFR,LWK,NA19035,NA19035,-0.0654,-0.01,0.0015,0.0614,0.0011,0.0134,-0.0005,0.0166,-0.0164,-0.0261,-0.0756,0.0096,0.0218,0.0409,0.022
AFR,LWK,NA19036,NA19036,-0.066,-0.0113,0.0014,0.0647,0.0079,-0.0072,-0.0041,-0.0197,-0.0457,-0.0247,0.0257,-0.0381,0.0552,-0.0177,0.0191
AFR,LWK,NA19037,NA19037,-0.065,-0.0101,0.0019,0.0866,-0.0105,-0.003,0.0298,-0.0394,0.0799,-0.0364,0.0565,-0.0186,0.1545,-0.0358,0.1013
AFR,LWK,NA19038,NA19038,-0.0652,-0.011,0.0015,0.0709,0.0072,-0.0001,0.0125,0.0197,-0.0208,0.0163,-0.0697,0.0346,0.0079,0.0469,0.0324
AFR,LWK,NA19041,NA19041,-0.0645,-0.0112,0.0012,0.0656,0.015,-0.0195,0.0033,0.0722,0.0056,-0.0427,0.0118,0.0317,0.0002,0.043,-0.0132
AFR,LWK,NA19043,NA19043,-0.0654,-0.0107,0.0011,0.0749,0.0112,0.0023,-0.0068,-0.0116,-0.011,-0.0459,-0.0173,0.0572,-0.0481,-0.0447,-0.0455
AFR,LWK,NA19307,NA19307,-0.0641,-0.0099,-0.0007,0.0803,0.0065,0.0029,-0.025,-0.1665,-0.0748,0.0639,0.065,0.0921,0.1624,-0.0634,-0.1077
AFR,LWK,NA19308,NA19308,-0.0642,-0.0113,0.0012,0.0676,-0.0041,0.0002,0.0071,-0.0178,0.0382,0.0257,-0.0343,-0.065,0.0077,0.0269,0.0106
AFR,LWK,NA19309,NA19309,-0.0652,-0.0103,0.0015,0.0713,0.0018,0.0064,-0.0423,-0.052,0.0531,-0.0713,-0.0586,-0.0186,0.0276,0.0305,-0.0686
AFR,LWK,NA19310,NA19310,-0.0666,-0.0119,0.002,0.0669,-0.0062,0.0051,-0.0054,0.0295,-0.0387,0.0348,0.0154,-0.0274,0.0105,-0.0515,0.0811
AFR,LWK,NA19312,NA19312,-0.0673,-0.0114,0.0019,0.0695,0.0021,0.0046,-0.0148,-0.1648,-0.041,0.0411,0.0377,0.1659,0.1463,-0.0846,-0.0819
AFR,LWK,NA19314,NA19314,-0.0622,-0.0096,0.0006,0.0706,-0.0139,-0.0128,0.0103,-0.0026,0.0482,-0.0199,-0.0455,0.042,0.0296,0.0049,-0.0083
AFR,LWK,NA19315,NA19315,-0.064,-0.0099,0.003,0.0616,-0.0043,0.0019,0.011,0.0709,-0.0274,0.0485,-0.0413,0.0136,-0.0761,0.0939,0.0161
AFR,LWK,NA19316,NA19316,-0.0654,-0.0119,0.0012,0.0744,-0.0045,0.0013,-0.021,-0.0151,0.0128,0.0282,0.0059,0.0667,0.0457,-0.0351,-0.0422
AFR,LWK,NA19317,NA19317,-0.0661,-0.011,0.0017,0.0672,0.0026,0.0102,-0.0014,0.0438,0.0896,0.001,0.0046,-0.0784,-0.0668,0.0019,-0.081
AFR,LWK,NA19318,NA19318,-0.0644,-0.011,-0.0001,0.0763,0.0069,-0.001,-0.0015,0.022,-0.0019,0.0242,0.0593,0.0373,-0.0282,0.0035,-0.0212
