region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19017,NA19017,-0.0683,-0.0124,0.0019,-0.0012,0.0586,0.0017,0.0138,0.0434,0.105,-0.0119,-0.0148,0.0226,0.0208,-0.0158,0.0237
AFR,LWK,NA19019,NA19019,-0.0692,-0.0121,0.0022,-0.0009,0.0754,0.0058,-0.008,0.005,-0.0542,0.0635,-0.0886,0.015,0.0336,-0.049,0.0151
AFR,LWK,NA19020,NA19020,-0.0691,-0.0117,0.0011,0.0001,0.056,0.0018,0.0035,0.0368,-0.0217,0.0662,-0.0297,-0.0214,-0.0085,0.0225,0.0106
AFR,LWK,NA19023,NA19023,-0.0712,-0.0128,0.0029,-0.0033,0.0612,0.0017,0.0194,-0.0014,-0.0038,-0.0729,-0.0367,-0.0335,-0.0466,-0.024,-0.008
AFR,LWK,NA19024,NA19024,-0.0684,-0.0111,0.0003,-0.0003,0.0713,0.0053,0.0007,-0.0348,0.0416,0.0431,0.0241,-0.0227,0.0401,0.0296,0.0082
AFR,LWK,NA19025,NA19025,-0.0687,-0.0126,-0.0002,0.0014,0.0833,0.0107,-0.0082,0.0638,0.0772,0.0492,-0.0856,0.0491,-0.0403,0.0349,-0.0016
AFR,LWK,NA19026,NA19026,-0.0703,-0.0116,0.0015,0.0002,0.0868,0.0186,0.0099,0.0292,0.0402,0.1696,0.0515,-0.0293,-0.0291,0.0651,-0.0389
AFR,LWK,NA19027,NA19027,-0.0663,-0.0106,0.0009,0.0,0.0773,-0.0133,-0.0086,-0.027,0.0345,-0.0235,0.0018,0.0355,-0.0169,0.0819,0.0103
AFR,LWK,NA19028,NA19028,-0.0659,-0.0102,-0.0015,0.0053,0.0669,-0.0036,0.014,0.0702,0.0186,0.1159,0.0336,0.0148,-0.0087,-0.0375,0.0331
AFR,LWK,NA19030,NA19030,-0.0698,-0.0119,0.0018,0.001,0.0806,-0.0014,0.0186,-0.0288,0.0137,-0.0368,-0.033,0.0062,0.0331,0.0365,-0.0268
AFR,LWK,NA19031,NA19031,-0.0674,-0.0115,0.0014,-0.0026,0.0734,-0.0006,-0.0029,-0.0707,0.0097,-0.0421,-0.0516,-0.0493,0.0392,0.0291,0.0014
AFR,LWK,NA19035,NA19035,-0.0694,-0.011,0.0019,-0.0025,0.0507,0.0024,0.0127,-0.0907,-0.0039,-0.0339,-0.0261,0.0105,0.018,0.0077,0.047
AFR,LWK,NA19036,NA19036,-0.07,-0.0123,0.0014,0.0012,0.0571,0.0096,-0.0083,0.0314,-0.0304,-0.0311,-0.0389,-0.0255,0.0474,0.0432,-0.0167
